,cause,location,val
204,Respiratory infections and tuberculosis,Benin,97.35922276409988
206,Respiratory infections and tuberculosis,Tajikistan,44.36726498580222
207,Respiratory infections and tuberculosis,Indonesia,47.73186614549285
209,Respiratory infections and tuberculosis,South Sudan,137.36586177635746
211,Respiratory infections and tuberculosis,Papua New Guinea,81.7613357548743
213,Respiratory infections and tuberculosis,Congo,77.29669680649259
217,Respiratory infections and tuberculosis,Cambodia,111.39186444826315
219,Respiratory infections and tuberculosis,Zimbabwe,158.9723958893301
220,Respiratory infections and tuberculosis,Bolivia (Plurinational State of),69.06745784597463
222,Respiratory infections and tuberculosis,Australia,17.548908490474506
223,Respiratory infections and tuberculosis,Netherlands,36.24907134258436
225,Respiratory infections and tuberculosis,Kenya,78.18381287607359
226,Respiratory infections and tuberculosis,Saudi Arabia,16.928598308398875
228,Respiratory infections and tuberculosis,Central African Republic,280.96425405136023
229,Respiratory infections and tuberculosis,Niger,133.8760266548953
232,Respiratory infections and tuberculosis,Togo,84.41312466129847
234,Respiratory infections and tuberculosis,Suriname,29.956629325915195
236,Respiratory infections and tuberculosis,Venezuela (Bolivarian Republic of),21.738098805772506
238,Respiratory infections and tuberculosis,Syrian Arab Republic,16.713495248937832
240,Respiratory infections and tuberculosis,Albania,17.18513734968075
242,Respiratory infections and tuberculosis,Samoa,37.190444643532345
245,Respiratory infections and tuberculosis,Brazil,43.24954756558439
250,Respiratory infections and tuberculosis,Qatar,2.7734726100501157
251,Respiratory infections and tuberculosis,Palau,101.1606477588712
252,Respiratory infections and tuberculosis,Micronesia (Federated States of),48.71835095282979
255,Respiratory infections and tuberculosis,Barbados,53.54224681486607
256,Respiratory infections and tuberculosis,Niue,54.80145460644389
261,Respiratory infections and tuberculosis,Austria,13.809176783575952
262,Respiratory infections and tuberculosis,Cameroon,84.98614909108308
263,Respiratory infections and tuberculosis,Paraguay,24.83324607910228
266,Respiratory infections and tuberculosis,Belgium,55.15715415840334
267,Respiratory infections and tuberculosis,Spain,30.819536999980656
269,Respiratory infections and tuberculosis,Lithuania,24.757694260925142
271,Respiratory infections and tuberculosis,Myanmar,67.87545099754595
273,Respiratory infections and tuberculosis,Cabo Verde,64.77797647667288
275,Respiratory infections and tuberculosis,Maldives,9.85405896531892
277,Respiratory infections and tuberculosis,Bosnia and Herzegovina,15.991274779820845
279,Respiratory infections and tuberculosis,Mozambique,126.31112791981232
281,Respiratory infections and tuberculosis,Bahrain,6.246275816653941
283,Respiratory infections and tuberculosis,Latvia,21.052665792023443
284,Respiratory infections and tuberculosis,Belize,30.47579314650881
286,Respiratory infections and tuberculosis,Angola,85.07668967481196
287,Respiratory infections and tuberculosis,Peru,59.194164345113876
289,Respiratory infections and tuberculosis,Northern Mariana Islands,26.718266266835762
290,Respiratory infections and tuberculosis,Cuba,64.12710726045829
292,Respiratory infections and tuberculosis,Bahamas,26.16097081912529
294,Respiratory infections and tuberculosis,Estonia,19.087117465132398
297,Respiratory infections and tuberculosis,Algeria,14.936240403853345
298,Respiratory infections and tuberculosis,Rwanda,78.37970198872794
300,Respiratory infections and tuberculosis,Senegal,72.26497760601345
302,Respiratory infections and tuberculosis,Mauritius,23.49420383798141
304,Respiratory infections and tuberculosis,Ecuador,35.68814859721716
306,Respiratory infections and tuberculosis,Norway,38.94151430753414
308,Respiratory infections and tuberculosis,Gabon,68.69364112372085
310,Respiratory infections and tuberculosis,Solomon Islands,80.81407815841337
312,Respiratory infections and tuberculosis,San Marino,24.301140152952318
315,Respiratory infections and tuberculosis,Tunisia,16.914758045673413
317,Respiratory infections and tuberculosis,Puerto Rico,35.223875334182786
318,Respiratory infections and tuberculosis,Portugal,78.32102708639802
320,Respiratory infections and tuberculosis,Nauru,41.39432082505397
322,Respiratory infections and tuberculosis,Vanuatu,53.11689704364142
323,Respiratory infections and tuberculosis,United Republic of Tanzania,99.25000895342009
325,Respiratory infections and tuberculosis,Equatorial Guinea,40.399505643214795
327,Respiratory infections and tuberculosis,Andorra,25.02980933096037
330,Respiratory infections and tuberculosis,Burkina Faso,147.15188963744382
331,Respiratory infections and tuberculosis,Malaysia,73.69769234398163
332,Respiratory infections and tuberculosis,Croatia,14.292981697010276
333,Respiratory infections and tuberculosis,Czechia,32.54020249594863
336,Respiratory infections and tuberculosis,United Arab Emirates,7.340748549598687
339,Respiratory infections and tuberculosis,Finland,14.232684441339906
