CountryName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H4_Emergency investment in healthcare,H6_Facial Coverings,Change
Australia,20200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
