location,val
France,35.41528807272889
Iraq,10.133878593020002
Burundi,130.88730855960122
Guinea,152.3494622132888
Armenia,21.137596409248573
Grenada,45.984149065538006
Jordan,9.35232254826224
Sri Lanka,25.288234698793264
Afghanistan,61.257491966538744
Guatemala,57.70359046169786
Argentina,83.18769706442899
North Macedonia,10.138378553463706
Guyana,42.15221638956143
Honduras,17.383814598131767
Sudan,21.04967323518747
Guinea-Bissau,100.79074956120071
Kuwait,15.649434649566484
Germany,29.471263848658232
Poland,32.322839188964124
Tuvalu,49.736508796248295
Botswana,101.83331167767555
Greece,57.808918011537706
Thailand,54.43161181983167
Brunei Darussalam,23.02951798676087
Iceland,29.539232017732854
Comoros,112.6161473091766
Tokelau,40.451102396861295
Azerbaijan,31.6416396352332
Bangladesh,42.60543758013738
Djibouti,89.20019882294814
Bermuda,27.131087235035782
Montenegro,12.020762206178114
Japan,92.13246298025173
Chile,27.477721604372693
Uruguay,47.84048524828171
Haiti,63.4112387682916
Georgia,26.287477013788198
United States Virgin Islands,24.58784119934685
American Samoa,22.482449549009086
Lesotho,221.7792135608641
China,15.614074541213617
Timor-Leste,68.35726793764765
Bhutan,36.36795216344275
Lebanon,18.47416271808788
Mauritania,58.59048944376646
Kazakhstan,27.011049176047703
Eritrea,139.43677315886197
Republic of Korea,34.18468247980945
Slovakia,34.257685232102325
Jamaica,16.828192213155802
Guam,21.544450643328535
Viet Nam,42.36804690527297
Israel,18.97135568460992
Libya,13.331381013048285
Namibia,98.09205182577772
Democratic People's Republic of Korea,39.4185016001
Romania,38.11072796146563
Cook Islands,54.8472441175084
Saint Lucia,33.09001232033507
Singapore,60.05677367245621
Ireland,34.33290725485295
Mexico,20.10895137402652
Canada,24.872183865562786
South Africa,89.83923947601278
Mali,100.21985823635752
India,63.222054143034754
Ethiopia,75.26284176935378
Morocco,29.12597444977861
Kyrgyzstan,18.812319344485616
Nepal,55.079541310073616
Serbia,19.45937719594423
Liberia,64.08295302667
Italy,20.80605446665935
Panama,24.65406202717897
Nicaragua,18.202755414814497
United States,24.60788203502514
Taiwan (Province of China),57.93678555846617
Fiji,28.177138140289806
Greenland,27.13086704109963
Mongolia,27.809077426171502
Eswatini,121.30644286623108
Monaco,68.66273884908892
Kiribati,89.43306198184105
Palestine,10.61417303534536
Madagascar,100.97422563173382
Oman,9.677833186533793
Saint Vincent and the Grenadines,36.94155289904392
Slovenia,33.013185989223736
Trinidad and Tobago,20.74603927446498
Luxembourg,22.151168549788427
Marshall Islands,48.707827031940575
Sao Tome and Principe,64.41253217066091
New Zealand,20.039861478754545
Uzbekistan,41.50676047461904
Malawi,96.4326074991934
Turkmenistan,35.62908044143953
Antigua and Barbuda,33.74248549006555
Belarus,15.279717927820284
Malta,42.68330126421385
Nigeria,107.39876195211694
Pakistan,61.43284416866583
Lao People's Democratic Republic,79.2021823467107
Benin,97.35922276409988
Tajikistan,44.36726498580222
Indonesia,47.73186614549285
South Sudan,137.36586177635746
Papua New Guinea,81.7613357548743
Congo,77.29669680649259
Cambodia,111.39186444826315
Zimbabwe,158.9723958893301
Bolivia (Plurinational State of),69.06745784597463
Australia,17.548908490474506
Netherlands,36.24907134258436
Kenya,78.18381287607359
Saudi Arabia,16.928598308398875
Central African Republic,280.96425405136023
Niger,133.8760266548953
Togo,84.41312466129847
Suriname,29.956629325915195
Venezuela (Bolivarian Republic of),21.738098805772506
Syrian Arab Republic,16.713495248937832
Albania,17.18513734968075
Samoa,37.190444643532345
Brazil,43.24954756558439
Qatar,2.7734726100501157
Palau,101.1606477588712
Micronesia (Federated States of),48.71835095282979
Barbados,53.54224681486607
Niue,54.80145460644389
Austria,13.809176783575952
Cameroon,84.98614909108308
Paraguay,24.83324607910228
Belgium,55.15715415840334
Spain,30.819536999980656
Lithuania,24.757694260925142
Myanmar,67.87545099754595
Cabo Verde,64.77797647667288
Maldives,9.85405896531892
Bosnia and Herzegovina,15.991274779820845
Mozambique,126.31112791981232
Bahrain,6.246275816653941
Latvia,21.052665792023443
Belize,30.47579314650881
Angola,85.07668967481196
Peru,59.194164345113876
Northern Mariana Islands,26.718266266835762
Cuba,64.12710726045829
Bahamas,26.16097081912529
Estonia,19.087117465132398
Algeria,14.936240403853345
Rwanda,78.37970198872794
Senegal,72.26497760601345
Mauritius,23.49420383798141
Ecuador,35.68814859721716
Norway,38.94151430753414
Gabon,68.69364112372085
Solomon Islands,80.81407815841337
San Marino,24.301140152952318
Tunisia,16.914758045673413
Puerto Rico,35.223875334182786
Portugal,78.32102708639802
Nauru,41.39432082505397
Vanuatu,53.11689704364142
United Republic of Tanzania,99.25000895342009
Equatorial Guinea,40.399505643214795
Andorra,25.02980933096037
Burkina Faso,147.15188963744382
Malaysia,73.69769234398163
Croatia,14.292981697010276
Czechia,32.54020249594863
United Arab Emirates,7.340748549598687
Finland,14.232684441339906
United Kingdom,62.31644658015364
Saint Kitts and Nevis,34.38127703826162
Colombia,18.281361195312986
Sierra Leone,125.999137246248
Ukraine,29.339450202286482
Dominican Republic,26.283753714594983
Egypt,23.301699609722355
Turkey,19.272016432904373
Gambia,89.33112816640869
El Salvador,38.04799653953543
Democratic Republic of the Congo,109.4982891159753
Côte d'Ivoire,97.6535424972966
Dominica,47.50621405424846
Denmark,42.60989429354579
Bulgaria,30.176316463489023
Costa Rica,15.265101682138269
Somalia,207.61476169404702
Seychelles,79.49446755514586
Uganda,78.44526840981004
Russian Federation,27.940395588881547
Yemen,23.82262787626728
Switzerland,22.250899657376532
Sweden,28.88951782001637
Republic of Moldova,29.55185124816756
Tonga,37.89182741080877
Philippines,79.83397954377989
Cyprus,12.7319065240176
Chad,166.78304204363175
Hungary,13.452328649118321
Iran (Islamic Republic of),13.102061488955894
Zambia,87.47731953945872
Ghana,87.84899161977509
